
================================================================
======== FXServer starting - 2020/7/8 下午10:22:04
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
Stopping resource x-hotwire
Creating script environments for x-hotwire
Started resource x-hotwire
server thread hitch warning: timer interval of 160 milliseconds
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved player "Kaba Han"
[es_extended] [INFO] Saved player "Youngin Ng"
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved 5 player(s)

--------------------------------------------------------------------------

EasyAdmin (EasyAdmin) is outdated.
Newest Version: 5.212
Your Version: 5.133
Please update it from https://github.com/Bluethefurry/EasyAdmin

Update Changelog:
Fix Bans not working through GUI

--------------------------------------------------------------------------
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
[es_extended] [WARNING] Server callback "rgz_menu:getItemAmount" does not exist. Make sure that the server sided file really is loading, an error in that file might cause it to not load.
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [INFO] Saved player "Kaba Han"
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved player "Youngin Ng"
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved 4 player(s)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes
server thread hitch warning: timer interval of 1237 milliseconds

dp Emotes (dpemotes) is up to date. (173)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Youngin Ng"
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved 4 player(s)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Started resource mdt
server thread hitch warning: timer interval of 155 milliseconds
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Stopping resource st-menu
Started resource st-menu
server thread hitch warning: timer interval of 266 milliseconds
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved player "Youngin Ng"
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved 4 player(s)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Stopping resource dpemotes
Creating script environments for dpemotes
Started resource dpemotes

dp Emotes (dpemotes) is up to date. (173)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Check gym expirations
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved player "Youngin Ng"
[es_extended] [INFO] Saved 4 player(s)
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 173 milliseconds
server thread hitch warning: timer interval of 157 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 193 milliseconds
server thread hitch warning: timer interval of 153 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 194 milliseconds
server thread hitch warning: timer interval of 161 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 185 milliseconds
server thread hitch warning: timer interval of 168 milliseconds
server thread hitch warning: timer interval of 162 milliseconds
server thread hitch warning: timer interval of 170 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 172 milliseconds
server thread hitch warning: timer interval of 175 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 196 milliseconds
server thread hitch warning: timer interval of 181 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 172 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 206 milliseconds
server thread hitch warning: timer interval of 168 milliseconds
server thread hitch warning: timer interval of 188 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 165 milliseconds
server thread hitch warning: timer interval of 169 milliseconds
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 199 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 155 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 170 milliseconds
server thread hitch warning: timer interval of 174 milliseconds
server thread hitch warning: timer interval of 168 milliseconds
server thread hitch warning: timer interval of 163 milliseconds
server thread hitch warning: timer interval of 157 milliseconds
server thread hitch warning: timer interval of 177 milliseconds
server thread hitch warning: timer interval of 183 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 190 milliseconds
server thread hitch warning: timer interval of 207 milliseconds
server thread hitch warning: timer interval of 168 milliseconds
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 181 milliseconds
server thread hitch warning: timer interval of 161 milliseconds
server thread hitch warning: timer interval of 169 milliseconds
server thread hitch warning: timer interval of 155 milliseconds
server thread hitch warning: timer interval of 218 milliseconds
server thread hitch warning: timer interval of 191 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 159 milliseconds
server thread hitch warning: timer interval of 166 milliseconds
server thread hitch warning: timer interval of 175 milliseconds
server thread hitch warning: timer interval of 153 milliseconds
server thread hitch warning: timer interval of 151 milliseconds
server thread hitch warning: timer interval of 210 milliseconds
server thread hitch warning: timer interval of 201 milliseconds
server thread hitch warning: timer interval of 165 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 167 milliseconds
server thread hitch warning: timer interval of 165 milliseconds
server thread hitch warning: timer interval of 191 milliseconds
server thread hitch warning: timer interval of 189 milliseconds
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 174 milliseconds
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 190 milliseconds
server thread hitch warning: timer interval of 159 milliseconds
server thread hitch warning: timer interval of 162 milliseconds
server thread hitch warning: timer interval of 153 milliseconds
server thread hitch warning: timer interval of 154 milliseconds
server thread hitch warning: timer interval of 217 milliseconds
server thread hitch warning: timer interval of 177 milliseconds
server thread hitch warning: timer interval of 170 milliseconds
server thread hitch warning: timer interval of 165 milliseconds
server thread hitch warning: timer interval of 167 milliseconds
server thread hitch warning: timer interval of 159 milliseconds
server thread hitch warning: timer interval of 152 milliseconds
server thread hitch warning: timer interval of 170 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 156 milliseconds
server thread hitch warning: timer interval of 175 milliseconds
server thread hitch warning: timer interval of 189 milliseconds
server thread hitch warning: timer interval of 151 milliseconds
server thread hitch warning: timer interval of 159 milliseconds
server thread hitch warning: timer interval of 157 milliseconds
server thread hitch warning: timer interval of 164 milliseconds
server thread hitch warning: timer interval of 221 milliseconds
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved player "Youngin Ng"
[es_extended] [INFO] Saved 4 player(s)
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
Sending heartbeat to https://servers-ingress-live.fivem.net/ingress
[txAdminClientLUA] Kicking all players with reason: 伺服器正在重啟 (localadmin)。
[es_extended] [INFO] Saved player "Yuzi Ho"
[es_extended] [INFO] Saved player "Luo Lin"
[es_extended] [INFO] Saved player "Jk C"
[es_extended] [INFO] Saved player "Youngin Ng"

================================================================
======== FXServer starting - 2020/7/9 上午3:22:07
================================================================
Creating script environments for _cfx_internal
Found new resource ar_k9 in C:/GTA_RP_Server_1\server-data/resources//ar_k9
Found new resource EasyAdmin in C:/GTA_RP_Server_1\server-data/resources//EasyAdmin
Found new resource mdt in C:/GTA_RP_Server_1\server-data/resources//mdt
Found new resource ObjectNameFromHash in C:/GTA_RP_Server_1\server-data/resources//ObjectNameFromHash
Found new resource pun_idgun in C:/GTA_RP_Server_1\server-data/resources//pun_idgun
Found new resource vMenu in C:/GTA_RP_Server_1\server-data/resources//vMenu
Found new resource wk_wars2x in C:/GTA_RP_Server_1\server-data/resources//wk_wars2x
Found new resource monitor in C:\GTA_RP_Server_1\server2524\citizen/system_resources//monitor
Found new resource webadmin in C:\GTA_RP_Server_1\server2524\citizen/system_resources//webadmin
Found new resource policecars in C:/GTA_RP_Server_1\server-data/resources//[cars]/policecars
Found new resource esx_ability in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_ability
Found new resource esx_amb_ability in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_amb_ability
Found new resource esx_charselect in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_charselect
Found new resource esx_chef_ability in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_chef_ability
Found new resource esx_gun_ability in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_gun_ability
Found new resource esx_identity in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_identity
Found new resource esx_lock_ability in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_lock_ability
Found new resource esx_mech_ability in C:/GTA_RP_Server_1\server-data/resources//[char]/esx_mech_ability
Found new resource pd-spawn in C:/GTA_RP_Server_1\server-data/resources//[char]/pd-spawn
Found new resource ooc in C:/GTA_RP_Server_1\server-data/resources//[easy]/ooc
Found new resource async in C:/GTA_RP_Server_1\server-data/resources//[essential]/async
Found new resource es_extended in C:/GTA_RP_Server_1\server-data/resources//[essential]/es_extended
Found new resource mysql-async in C:/GTA_RP_Server_1\server-data/resources//[essential]/mysql-async
Found new resource chip_criminalDoctor in C:/GTA_RP_Server_1\server-data/resources//[esx]/chip_criminalDoctor
Found new resource cron in C:/GTA_RP_Server_1\server-data/resources//[esx]/cron
Found new resource esx-ecobottles in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx-ecobottles
Found new resource esx-kr-vehicle-push in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx-kr-vehicle-push
Found new resource esx_billing in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_billing
Found new resource esx_dmvschool in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_dmvschool
Found new resource esx_garage in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_garage
Found new resource esx_license in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_license
Found new resource esx_lscustom in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_lscustom
Found new resource esx_moneywash in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_moneywash
Found new resource esx_society in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_society
Found new resource esx_speedcamera in C:/GTA_RP_Server_1\server-data/resources//[esx]/esx_speedcamera
Found new resource heli in C:/GTA_RP_Server_1\server-data/resources//[esx]/heli
Found new resource InteractSound in C:/GTA_RP_Server_1\server-data/resources//[esx]/InteractSound
Found new resource InteractSoundS in C:/GTA_RP_Server_1\server-data/resources//[esx]/InteractSoundS
Found new resource lux_vehcontrol in C:/GTA_RP_Server_1\server-data/resources//[esx]/lux_vehcontrol
Found new resource new_banking in C:/GTA_RP_Server_1\server-data/resources//[esx]/new_banking
Found new resource ocrp_postal_map in C:/GTA_RP_Server_1\server-data/resources//[esx]/ocrp_postal_map
Found new resource Optimized3DME in C:/GTA_RP_Server_1\server-data/resources//[esx]/Optimized3DME
Found new resource simpletp in C:/GTA_RP_Server_1\server-data/resources//[esx]/simpletp
Found new resource SmartTrafficLights in C:/GTA_RP_Server_1\server-data/resources//[esx]/SmartTrafficLights
Found new resource smj_ducharse in C:/GTA_RP_Server_1\server-data/resources//[esx]/smj_ducharse
Found new resource st-cctv in C:/GTA_RP_Server_1\server-data/resources//[esx]/st-cctv
Found new resource vSync in C:/GTA_RP_Server_1\server-data/resources//[esx]/vSync
Found new resource zffb_dice in C:/GTA_RP_Server_1\server-data/resources//[esx]/zffb_dice
Found new resource basic-gamemode in C:/GTA_RP_Server_1\server-data/resources//[gamemodes]/basic-gamemode
Found new resource chat in C:/GTA_RP_Server_1\server-data/resources//[gameplay]/chat
Found new resource chat-theme-gtao in C:/GTA_RP_Server_1\server-data/resources//[gameplay]/chat-theme-gtao
Found new resource playernames in C:/GTA_RP_Server_1\server-data/resources//[gameplay]/playernames
Found new resource screenshot-basic in C:/GTA_RP_Server_1\server-data/resources//[local]/screenshot-basic
Found new resource bob74_ipl in C:/GTA_RP_Server_1\server-data/resources//[map]/bob74_ipl
Found new resource hackee-dispatch in C:/GTA_RP_Server_1\server-data/resources//[NPC]/hackee-dispatch
Found new resource image-server in C:/GTA_RP_Server_1\server-data/resources//[phone]/image-server
Resource loading for image-server failed:
Could not open resource metadata file C:/GTA_RP_Server_1/server-data/resources//[phone]/image-server/__resource.lua.
Found new resource mugshot in C:/GTA_RP_Server_1\server-data/resources//[phone]/mugshot
Found new resource baseevents in C:/GTA_RP_Server_1\server-data/resources//[system]/baseevents
Found new resource hardcap in C:/GTA_RP_Server_1\server-data/resources//[system]/hardcap
Found new resource rconlog in C:/GTA_RP_Server_1\server-data/resources//[system]/rconlog
Found new resource runcode in C:/GTA_RP_Server_1\server-data/resources//[system]/runcode
Found new resource scoreboard in C:/GTA_RP_Server_1\server-data/resources//[system]/scoreboard
Found new resource sessionmanager in C:/GTA_RP_Server_1\server-data/resources//[system]/sessionmanager
Found new resource sessionmanager-rdr3 in C:/GTA_RP_Server_1\server-data/resources//[system]/sessionmanager-rdr3
Found new resource yarn in C:/GTA_RP_Server_1\server-data/resources//[system]/yarn
Found new resource example-loadscreen in C:/GTA_RP_Server_1\server-data/resources//[test]/example-loadscreen
Found new resource fivem in C:/GTA_RP_Server_1\server-data/resources//[test]/fivem
Found new resource ChairBedSystem in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/ChairBedSystem
Found new resource dpclothing in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/dpclothing
Found new resource dpemotes in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/dpemotes
Found new resource esx_ruskiarrest in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/esx_ruskiarrest
Found new resource fingerpoint in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/fingerpoint
Found new resource HideInTrunk in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/HideInTrunk
Found new resource lkrp_notepad in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/lkrp_notepad
Found new resource seatbelt in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/seatbelt
Found new resource SeatShuffle in C:/GTA_RP_Server_1\server-data/resources//[esx]/[animation]/SeatShuffle
Found new resource crafting in C:/GTA_RP_Server_1\server-data/resources//[esx]/[crafting]/crafting
Found new resource esx_crafting in C:/GTA_RP_Server_1\server-data/resources//[esx]/[crafting]/esx_crafting
Found new resource lockpick in C:/GTA_RP_Server_1\server-data/resources//[esx]/[crafting]/lockpick
Found new resource reload-skillbar in C:/GTA_RP_Server_1\server-data/resources//[esx]/[crafting]/reload-skillbar
Found new resource esx_autogang in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_autogang
Found new resource esx_carthief in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_carthief
Found new resource esx_doorlockv3 in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_doorlockv3
Found new resource esx_doorlock_mhacking in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_doorlock_mhacking
Found new resource esx_drugeffects in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_drugeffects
Found new resource esx_drugs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_drugs
Found new resource esx_GoldCurrency in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_GoldCurrency
Found new resource esx_knatusblowtorch in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_knatusblowtorch
Found new resource esx_knatusrobberybank in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_knatusrobberybank
Found new resource esx_lootDeadbody in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_lootDeadbody
Found new resource esx_merryweather in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_merryweather
Found new resource esx_outlawalert in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_outlawalert
Found new resource esx_planting in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_planting
Found new resource esx_thief in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_thief
Found new resource esx_vangelico_robbery in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/esx_vangelico_robbery
Found new resource KBurglary in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/KBurglary
Found new resource mhacking in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/mhacking
Found new resource stasiek_selldrugs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/stasiek_selldrugs
Found new resource t1ger_drugs in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/t1ger_drugs
Found new resource TakeHostage in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/TakeHostage
Found new resource x-hotwire in C:/GTA_RP_Server_1\server-data/resources//[esx]/[illegal]/x-hotwire
Found new resource instance in C:/GTA_RP_Server_1\server-data/resources//[esx]/[instance]/instance
Found new resource CARP-status in C:/GTA_RP_Server_1\server-data/resources//[esx]/[inventory]/CARP-status
Found new resource esx_inventoryhud in C:/GTA_RP_Server_1\server-data/resources//[esx]/[inventory]/esx_inventoryhud
